Feature,Syn_Mean,Real_Mean,Mean_Diff,Syn_Std,Real_Std,KS_Stat,KS_p,MW_p,Cohens_d,Alignment
Sprint 100m (s),14.94,14.28,0.66,2.25,2.75,0.2625,0.0005,0.0013,0.263,Good
Endurance 1500m (min),8.98,7.86,1.11,1.43,2.64,0.379,0.0,0.0,0.524,Moderate
Flexibility,35.11,30.94,4.17,9.5,22.13,0.2779,0.0002,0.4487,0.245,Good
Strength,50.08,54.27,4.19,16.28,20.96,0.1712,0.06,0.1301,0.224,Good
BMI,21.63,22.26,0.63,3.32,4.13,0.1753,0.0509,0.0428,0.169,Good
Coordination,57.78,43.24,14.54,14.51,27.66,0.2593,0.0007,0.0006,0.658,Moderate
Reaction Time (ms),279.22,333.63,54.41,45.4,163.34,0.2666,0.0004,0.0635,0.454,Good
Progress Index,2.58,1.28,1.3,5.92,3.78,0.3055,0.0,0.0144,0.261,Good
Skill Acquisition,5.51,5.77,0.26,1.64,1.53,0.2219,0.0056,0.2426,0.164,Good
Motivation,5.52,6.73,1.22,1.64,1.39,0.3477,0.0,0.0,0.798,Moderate
Self-Confidence,5.28,6.73,1.45,1.77,1.69,0.3818,0.0,0.0,0.836,Poor
Stress Mgmt,4.54,6.27,1.73,1.75,1.79,0.4421,0.0,0.0,0.977,Poor
Goal Orientation,5.52,6.7,1.18,1.65,1.66,0.2949,0.0001,0.0,0.715,Moderate
Resilience,5.02,6.23,1.21,1.68,1.55,0.36,0.0,0.0,0.751,Moderate
Teamwork,5.53,6.62,1.09,1.63,1.89,0.3322,0.0,0.0,0.615,Moderate
Participation,5.77,6.75,0.98,1.5,1.87,0.3579,0.0,0.0,0.581,Moderate
Communication,5.02,6.02,1.0,1.7,1.8,0.3686,0.0,0.0,0.57,Moderate
Leadership,4.76,5.77,1.01,1.84,1.89,0.2705,0.0003,0.0,0.542,Moderate
Peer Collab,5.52,6.49,0.97,1.63,1.76,0.326,0.0,0.0,0.572,Moderate
Age,18.01,18.76,0.75,2.0,3.15,0.3399,0.0,0.0,0.284,Good
Grade Level,10.52,10.79,0.28,1.12,1.0,0.1752,0.0509,0.0621,0.26,Good
